Title,Company,Location,Qualifications,Url
Data Scientist,Flipped.ai,"Chennai, Tamil Nadu",['R'],https://www.simplyhired.co.in/job/HIVYgeflvNS7jH_xF-lJRAWpjtinWr5MMENkxzwdada7Wxz8X9TpSw?q=data+scientist
Data Analyst/Scientist,ALB Technologies Pvt. Ltd.,"Kochi, Kerala","['Power BI', 'SQL', 'Technical writing', 'R', 'Machine learning', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/s1FONi7TbhGFHYantR40bdS_h8_1Gg_Z4xW2SBEnSVOALw92uqdNCA?q=data+scientist
Sr. Data Scientist,OMS Software Solutions India Pvt Lltd,"Coimbatore, Tamil Nadu",[],https://www.simplyhired.co.in/job/wQCgYi1mTDKhjcB1br9RXm4ZKbCVhkHaBoPf_oZNssZv-zwOsmiSuw?q=data+scientist
Data Scientist,vlitechnologies,"Chennai, Tamil Nadu","['Communication skills', 'SQL', 'Python', 'HTML5', 'ETL', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/eL-yRV3Xh9Ln0tYuUSghoad4GH_AB9MrNkyvHtAQMl-gid2NzfL1XA?q=data+scientist
Data Scientist,Macrolink Tech Solutions Private Limited,"Egmore, Chennai, Tamil Nadu","['Analysis skills', 'Image processing', 'Natural language processing', 'TensorFlow', 'C++']",https://www.simplyhired.co.in/job/HdNyPTjcMIzf-PB2voZezUbEx1AYRt9QwWG2atwchfVan85AV_YvFQ?q=data+scientist
"Data Scientist, Growth and Data Products",Dow Jones,"Bengaluru, Karnataka","['Senior leadership', 'SQL', 'Workday', 'Microsoft Excel', 'Microsoft Powerpoint', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/u-zZig-1ECkQumTuMDL1RCnFzrMbZ9ks8H0Wc2s4sGTiYfyiPt6M4w?q=data+scientist
Senior Machine Learning Engineer,Baker Hughes,"Mumbai, Maharashtra","['Azure', 'Node.js', 'TensorFlow', 'Communication skills', 'PostgreSQL', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/Glm315bzU-qnJ9f6G4KOIldgGtlNBVEYknzXi94lBuep2JmegnjPmw?q=data+scientist
Sr. Data Scientist,OMS Software Solutions India Pvt Lltd,"Coimbatore, Tamil Nadu",[],https://www.simplyhired.co.in/job/wQCgYi1mTDKhjcB1br9RXm4ZKbCVhkHaBoPf_oZNssZv-zwOsmiSuw?q=data+scientist
Data Scientist,Btrnsfrmd Consulting LLC,"Bengaluru, Karnataka","['Microsoft Excel', 'Communication skills', 'Marketing', 'Analytics', 'R', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/HbmbyqBBfQbU53FEfCB-R8kZjaQ86PzzOUKkFg7HRU9eIKNxylYvTw?q=data+scientist
Senior Machine Learning Engineer,Baker Hughes,"Mumbai, Maharashtra","['Azure', 'Node.js', 'TensorFlow', 'Communication skills', 'PostgreSQL', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/Glm315bzU-qnJ9f6G4KOIldgGtlNBVEYknzXi94lBuep2JmegnjPmw?q=data+scientist
Faculty- Artificial Intelligence,United Group of Initiatives,"Ernakulam, Kerala","['.NET', 'Teaching experience', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/1Q5HTnkHVLXWSO5GoFQn2WpldvCpTjgc2NxrfMHR9escMfnSCgp7Kg?q=data+scientist
Audit Reporting and Analytics Analyst,DTCC,"Chennai, Tamil Nadu","['Power BI', 'SQL', 'Tableau', 'SharePoint', 'Informatica']",https://www.simplyhired.co.in/job/OHVLXTK5OsdVclVSNxMgOHuND6QtMXRkBtyqTDzGvh0qbwbjQx7FRQ?q=data+scientist
Data Scientist,Clarifai,"Bengaluru, Karnataka","['Analysis skills', 'Image processing', 'SQL', 'Technical writing', 'Computer skills', 'Doctoral degree', 'M.Sc', 'B.Sc', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/zBqw1wbjqY1Fn4RTPGgDb678E_Q7wsgPwRxm_iLU0zUUoTvGScR60Q?q=data+scientist
Data Science Internship,Oracuz Infotech Pvt Ltd,"Thiruvananthapuram, Kerala","['Data science', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/NcXzEgGKm6fbFOCc-tetezClMN1YY6xAs463sReejC7vex3org6Apg?q=data+scientist
Machine Learning Engineer,Aidaptive,India,"['Image processing', 'Natural language processing', 'Deep learning', 'TensorFlow', 'Machine learning', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/vayHG_v_PRyxAPu7K2lcU02_9x4BL--ibjPiJ485EJj5ORL81hsAjA?q=data+scientist
Analytics Data Engineer / Data Scientist,COMPEGENCE,"Bengaluru, Karnataka","['SQL', 'Analytics', 'Data analysis skills', 'Data science']",https://www.simplyhired.co.in/job/uOwMG2jkb1wVJjZoi_bz7D7AevpyJcPVwT-RzIMwHZuI-Zo-BhWWqg?q=data+scientist
Data Scientist,Standard Chartered,"Chennai, Tamil Nadu","['Statistical analysis', 'Analysis skills', 'SQL', 'Live chat', 'Natural language processing']",https://www.simplyhired.co.in/job/fcGSowAe37zQquJnXWQmnQUkUUv4w_52lnrXdqCTy3-SJrN4F0DNaQ?q=data+scientist
Data Scientist,Bosch Group,"Bengaluru, Karnataka","['Azure', 'SQL', 'NoSQL', 'OOP', 'Communication skills', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/qkAs7o7G1sNym0FesHrPRRF3Kj9bH-ojTzcjIeYgbajdK-Y-50-ITw?q=data+scientist
Data Scientist Intern,PAGO Analytics,"Hyderabad, Telangana","['SQL', 'SAS', 'Analytics', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/1y3WOKEt_eBiXT8rVy93j7pwi1dy7rk-sHZzB-JlKAPeuVDcPI8NEg?q=data+scientist
