Title,Company,Location,Qualifications,Url
"Data Scientist II, FinTech",Uber,"Hyderabad, Telangana","['SQL', 'Microsoft Excel', 'Tableau', 'Data visualization', 'Data collection', 'M.Sc', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/CKi_P9kXvoZqbbPcdBwWkfh0r53Uy5uB67VhPF-ismEd9FaMy42okA?q=data+scientist
Data Scientist,Jiva Agriculture,"Bengaluru, Karnataka","['SQL', 'APIs', 'Python', 'Data visualization']",https://www.simplyhired.co.in/job/KWmKI5-psDxDSHyDgLg6HKHxo4mvXpjWOWQpj5yozLBuLpBqyZ70vw?q=data+scientist
"Principal, Data Scientist",The Bank of New York Mellon Corporation,"Pune, Maharashtra","['Analytics', 'Data science']",https://www.simplyhired.co.in/job/oD9sV9YOW81l7pgbfq8ev85yQpFU-glX0StkKVB7bcMK5XkR6oKNnQ?q=data+scientist
Data Scientist,Blackbuck,"Bengaluru, Karnataka","['Image processing', 'Machine learning', 'Statistics', 'Data science', ""Bachelor's degree"", ""Master's degree"", 'Doctoral degree']",https://www.simplyhired.co.in/job/4525-SepOr3_v6NakholIKwUJFkmFkCx6cEIyTxCrmG68m4v6UM7Xg?q=data+scientist
Machine Learning Engineer 1,Anuview,"Chennai, Tamil Nadu","['Software deployment', 'Flask', 'Azure', 'PyTorch', 'NumPy']",https://www.simplyhired.co.in/job/5qsv9R7js1UKLmrQyHR27hjqJHMzM1RuxwFkbvO5P5YzbWsbDTtMJw?q=data+scientist
Data Scientist,Resulticks,"Chennai, Tamil Nadu","['Perl', 'SQL', 'Statistical software', 'Pandas', 'MATLAB', ""Master's degree""]",https://www.simplyhired.co.in/job/eAvyWqVny31iRnpvToF_qR6LxkTRfUM2uRfz5SkBkB4Et_IQ6n2GGg?q=data+scientist
Senior Data Scientist,Index Exchange,"Bengaluru, Karnataka","['Data modeling', 'NumPy', 'Pandas', 'Digital marketing', 'Scala', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/E_3kAqmCyUyWvSZVWLwfMsBcQUwfxEcuXyg0Qi_PpPJ1PDu4myQBMg?q=data+scientist
Data Scientist,netObjex,"Bengaluru, Karnataka","['SQL', 'Natural language processing', 'Deep learning', 'TensorFlow', 'C++']",https://www.simplyhired.co.in/job/OFajyeaUr8e1cy6xjYzqYVAve-J8tHODbbtusO7DO_H4oC9w95yLSA?q=data+scientist
Data Scientist,Trovech Infotech Private Limited,"Bengaluru, Karnataka","['Statistical analysis', 'SQL', 'NumPy', 'NoSQL', 'SciPy', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/YnTE68bmDNseKQdp3aqDjLEe5gbpw3Wob76XtdvnAt1kKMnwH6x1Uw?q=data+scientist
Data Scientist,Athos Systems,"Bandra, Mumbai, Maharashtra",['Data mining'],https://www.simplyhired.co.in/job/s8ZlYTI_dqdUR_oNSYGR-IXarmBRMwDrqV9WmruNSrmCtjgyDwb65A?q=data+scientist
Data Analytics Intern,Reliance Games,"Pune, Maharashtra","['Analysis skills', 'SQL', 'Microsoft Excel', 'Predictive analytics', 'Tableau', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/3lE7_Ct7MhW7VDYmJcswJlIi4zMy9r3le9DR5Hn2bY-yRimLccdhvg?q=data+scientist
Data Scientist - Bangalore/Noida/Hybrid,Techneplus,"Bengaluru, Karnataka","['Power BI', 'Relational databases', 'SQL', 'SAS', 'Tableau', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/PaBJmi7Jvrhzwxtr05HKTBIJiTx7YYDyF_Gi9s6jHDeZ6XmTgkh18g?q=data+scientist
Senior Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka","['TensorFlow', 'Communication skills', 'Agile', 'SQL', 'Python']",https://www.simplyhired.co.in/job/iscxBq3PUPXVbIwsPY6tU-OUjVJQ8e6L_3Eo70m0c6W9hnV5MWnodw?q=data+scientist
Supply Chain Network Data & Analytics Specialist,Colgate-Palmolive,"Mumbai, Maharashtra","['Manufacturing', 'Supply chain', 'SQL', 'Spring', 'R', ""Bachelor's degree"", ""Master's degree"", 'M.B.A.']",https://www.simplyhired.co.in/job/9LhEc7XC6XiS8ROC2gSQiMuQub04_62xsI5t2noD8yqdDZinQINWLg?q=data+scientist
Engineering Leader - Machine Learning,Eightfold.AI,India,"['TensorFlow', 'C++', 'Scala', 'APIs', 'Hadoop', 'B.Sc', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist
Data Scientist Jr. & Sr.,thyssenkrupp India Pvt. Ltd.,"Pune, Maharashtra","['SQL', 'Analytics', 'R', 'Machine learning', 'Python']",https://www.simplyhired.co.in/job/oURaAqvuwZvN9XmJbS9dvJ6QTnoopELJtNSkYklmioT2BXLsEJibVw?q=data+scientist
Engineering Leader - Machine Learning,Eightfold.AI,India,"['TensorFlow', 'C++', 'Scala', 'APIs', 'Hadoop', 'B.Sc', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist
AI / Computer vision,Rayvector,"Bengaluru, Karnataka","['Bash', 'PyTorch', 'Shell Scripting', 'OpenCV', 'TensorFlow', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/MLdhcpDo77IIroBcj9k1F9faHCk3qYyjTjl9a0eM8wMzL_hY8SAfvA?q=data+scientist
Sr. Data Scientist,Golden Eagle,"Indore, Madhya Pradesh","['SQL', 'Machine learning', 'Python', 'NumPy', 'AWS']",https://www.simplyhired.co.in/job/jTkliqlFm0OrUunNgNwIUfH5u9EQdRijgqOfaAArBmEE3eBqu_54XQ?q=data+scientist
Data Scientist,Codvo.ai,"Bengaluru, Karnataka","['Bash', 'Web services', 'REST', 'SQL', 'PyTorch']",https://www.simplyhired.co.in/job/5GKH2p6sJif7DdQdDQlQS4ZC6vEKOxBBYdT4DcEZ4MDxMSQKukIccw?q=data+scientist
Senior Data Scientist,Bento Labs,"Hyderabad, Telangana","['Communication skills', 'SQL', 'Python', 'Data analysis skills', 'Presentation skills']",https://www.simplyhired.co.in/job/naw3zu9Mg2nQeeHiLRiHW5X4Wai_fC6qHyoHrylPy7S7Ps_yrO7s2A?q=data+scientist
Principal Data Scientist,CereSight,India,"['Spark', 'TensorFlow', 'Apache', 'Machine learning', 'Big data', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/weyGDmkZVMOmL5wcXRn2VnOOd74xr9qNVXAozMTfwVNaqAcXcyw37A?q=data+scientist
Data Science Intern,Domains Analytics,"Chandigarh, Chandigarh","['MySQL', 'Natural language processing', 'TensorFlow', 'APIs', 'Machine learning']",https://www.simplyhired.co.in/job/CkSSA7FVeoJM83grByFlQ5xincnQ0aIS7imCAbNcr_cUghX0DdImFg?q=data+scientist
Data Scientist Associate Sr,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","['Continuous integration', 'Agile', 'System design', 'Natural language processing', 'AI']",https://www.simplyhired.co.in/job/dMui97f6trzSvFyXl5kn9LB9QfYTEPgibFMsvQJFzFXZL42iSktClQ?q=data+scientist
Big Data Engineer,CereSight,India,"['Azure', 'SQL', 'Apache Hive', 'MapReduce', 'DataStage', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/BEnTxzY1SEncV2iW_kKzccS2WW2oKFVaNJpS5AhhLi628R6Q2GcxtA?q=data+scientist
AI Data Scientist,Recruitment Smart,"Ahmadabad, Gujarat","['Analysis skills', 'Spark', 'Microsoft Powerpoint', 'Presentation skills', 'Natural language processing', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/q46ENEnRp3CgjRQSMRr2Jaz77RGpMllNiNHT3OJEtpmnDX0OCFdKAg?q=data+scientist
Data Scientist (AI/ML),Inofinix Pvt Ltd,"Bengaluru, Karnataka","['SQL', 'Tableau', 'NumPy', 'Pandas', 'SciPy']",https://www.simplyhired.co.in/job/3HQyTwR_Gp4lg6IlR4wc8mnKXOl3SpIHkBUwH3QlvfVHHtaPYpaviw?q=data+scientist
Machine Learning Engineers,P2F Semiconductor Services Pvt Ltd,"Bengaluru, Karnataka","['Azure', 'SQL', 'Database development', 'TensorFlow', 'Agile', 'B.Sc', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/KJjmLURO9_fWaBFgvJ9WdFKTLjW4q37LbvE0_mxFzsDnovExm12Bqg?q=data+scientist
Deep Learning Engineer,Aptagrim Consulting,"Hyderabad, Telangana","['Deep learning', 'TensorFlow', 'Image processing', 'Communication skills', 'Computer vision', ""Master's degree""]",https://www.simplyhired.co.in/job/PniWE2JkPViBX2b3We9fAlc1TbaruqQ4Yv9yZrjdRMzzG6UIRVuTYQ?q=data+scientist
Data Scientist,Bharat Light & Power,"Bengaluru, Karnataka","['SQL', 'R', 'Machine learning', 'Python', 'Big data']",https://www.simplyhired.co.in/job/L0ixUpObhApcrBHZN2Gseza7JysALirtgE_8A5bd9JYFVUeB7TNLiQ?q=data+scientist
Data Scientist II,MiQ Digital,"Bengaluru, Karnataka","['SQL', 'Spark', 'Apache Hive', 'MapReduce', 'Apache Pig', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/uz71eyBVkQOAZlLPfMffMyFwWpwYU4D_Tiuzg1K9su_B7pwb_6FGyw?q=data+scientist
Data Science Intern,Perpetual Invention,"Pune, Maharashtra","['Business requirements', 'Data science']",https://www.simplyhired.co.in/job/-CyWtmQT6ZNwVI8Q3MgmIkz6LkUMqsKo6Uzy9SlsPzo5nB79K3zAUg?q=data+scientist
Machine Learning Engineer 1,Viavi Solutions,"Chennai, Tamil Nadu","['Software deployment', 'Flask', 'Azure', 'PyTorch', 'NumPy']",https://www.simplyhired.co.in/job/FxRHitr0xuLCZOh7HR1UhCbQbQ2R4pYSOq2PsNN9IwYThUMPeJUqhg?q=data+scientist
Fraud Risk Data Science Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","['Fraud', 'Algorithm design', 'Machine learning', 'Python', 'Big data', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/WBDknPy1aq7xiuTGnwfWiiAw3UMkIIejWa-kzRoYrN--o8abreYFYw?q=data+scientist
Data Scientist,Tanla Solutions,"Madhapur, Hyderabad, Telangana","['Deep learning', 'TensorFlow', 'Communication skills', 'R', 'Machine learning']",https://www.simplyhired.co.in/job/mufzB35183p5NevQg25nZnwZNYwTXtCmlmbBt6Zld9JymDZGQGztqg?q=data+scientist
Senior Data Scientist,Shairu Gems Diamonds PVT.LTD.,"Surat, Gujarat","['Pivot tables', 'R', 'Microsoft Excel', 'Machine learning', 'Python']",https://www.simplyhired.co.in/job/SX2hzkYsvgYO4EM8GEUpmE4OL4bXL60a3OdICgt5K-DDfiGWuJGS9A?q=data+scientist
Data Scientist CRSP IRC180072,GlobalLogic,"Chennai, Tamil Nadu","['SQL', 'NoSQL', 'Communication skills', 'Scala', 'Python', 'B.Sc', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/bUXih8wkM21amDvf0N5JFTjvk7JQVLu5iyrVyb_KWTpkXltKKkj8Lg?q=data+scientist
Engineering Leader - Machine Learning,Eightfold.AI,India,"['TensorFlow', 'C++', 'Scala', 'APIs', 'Hadoop', 'B.Sc', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist
Data Scientist,ZL Technologies,"Hyderabad, Telangana","['Statistical analysis', 'Elasticsearch', 'D3.js', 'SQL', 'PyTorch', 'B.Sc', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/Fnt9Cc5fZfC_eRL3PaP-jY_i8bqlhrDi2JEnGvr9cey9yu6kB9IjFQ?q=data+scientist
Machine Learning Engineer (2-4 years),Digispoc Technology Pvt. Ltd.,"Chennai, Tamil Nadu","['Project management', 'Image processing', 'SAS', 'Natural language processing', 'MATLAB', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/kpb1yuA_3HNWoBFdoqeBn3Z-nqb7csranAsxDecJ1rzBGixIoM9HOA?q=data+scientist
Data Scientist,Draup,"Bengaluru, Karnataka","['Software deployment', 'PyTorch', 'Spark', 'NumPy', 'Pandas', 'M.C.A.', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/QqC-_XpGaaO_nIuVrpEKQKL0qTrEaFUb9xeTHukUrfFlIU3Nte_Eiw?q=data+scientist
Data Science Engineer,Continental,"Bengaluru, Karnataka","['Power BI', 'Relational databases', 'Data modeling', 'SQL', 'Node.js', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/HVRRuJR9Xu8Sf_KRAAU35kA6X-KGu9JdCadTfxwWPnVGME5qvbYq9Q?q=data+scientist
Machine learning Internship,Constems-AI,"Noida, Uttar Pradesh","['TensorFlow', 'Communication skills', 'Machine learning', 'Python', 'NumPy', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/7snC_DBXaUwnZdB-ZNe02QIuwSiXr_JuOefks7nHQel4Kz2V5zyAdQ?q=data+scientist
Data Scientist,Navikenz,"Bengaluru, Karnataka","['D3.js', 'Azure', 'Hadoop', 'R', 'Machine learning', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/StBacGV7gvwUVkANCB_NGs6DlrB3oDAvF7WLnzWIcQj7EwN62aFE9A?q=data+scientist
Data Science,Mr. Cooper,"Chennai, Tamil Nadu","['R', 'Python', 'Tableau', 'Statistics', 'Data analysis skills', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/oGvmvQrAc_N1_wQJaB9nUUm_GRgIMQ9_MMZ6bAq4xl4f2yReXeuviA?q=data+scientist
Data Analyst / Data Scientist,StatusNeo Technology Consulting,"Gurgaon District, Haryana","['SQL', 'SAS', 'Market analysis', 'Analytics', 'R', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/253kNaulbfI6K9DRJvQVPiNx49Zn1M4zuCoLU7BfGUEJbAqbQ7i0_A?q=data+scientist
Consultant - Data Scientist,Affine,India,"['Power BI', 'Supply chain', 'SAP', 'Tableau', 'SAP Supply Chain Management', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/ej2z-qrPvYyYJ9HgmPleF-aFUaZ8gnx6bb9e6OLcuC8j6el7ht9y5Q?q=data+scientist
Data Scientist,CIEL HR Services,"Bengaluru, Karnataka","['Power BI', 'R', 'Machine learning', 'Python', 'SAS']",https://www.simplyhired.co.in/job/hVSfnkv5IV8162d_dGsdKJ6ecQhSRqHfRW50RZSh5xvf4-z94rIpYw?q=data+scientist
Data Scientist,Inference Labs,"Bengaluru, Karnataka","['Power BI', 'SQL', 'Analytics', 'R', 'Microsoft Excel']",https://www.simplyhired.co.in/job/CgfHL6EgY7ZFg6A1WMRMTEX-WfXJuI4qvmaj94C39j57tdjTpyiG0w?q=data+scientist
DATA SCIENTIST,Liases Foras,"Mumbai, Maharashtra","['Statistical analysis', 'D3.js', 'SQL', 'Spark', 'Apache Hive', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/FcrL2VAFjIiaLSnYZhiTGUrzeRjmf7CignmxLUULYfU7DXq8h6Q9Iw?q=data+scientist
Data Science Strategic Analytics-Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","['SQL', 'Tableau', 'NumPy', 'Pandas', 'Financial services', ""Master's degree"", 'M.B.A.']",https://www.simplyhired.co.in/job/bo06WIKI6acJh3m73Gb5-DkvG14SQvrKsIRuf39HFIakh0xVJ1JkCw?q=data+scientist
Data Scientist,StatusNeo Technology Consulting,"Gurgaon District, Haryana","['D3.js', 'Agile', 'Graph databases', 'Machine learning', 'Data management']",https://www.simplyhired.co.in/job/FiFNdwWRE9EdeDxXgI2ZPN5tt15QdathxyD4BgAvoFl2c9c4qISCJA?q=data+scientist
Machine Learning Engineer,Aptiv,"Bengaluru, Karnataka","['GitLab', 'Scrum', 'Git', 'TensorFlow', 'C++', ""Master's degree""]",https://www.simplyhired.co.in/job/urtTDfSvoKmx4pfD2wcf8KqtYxEyIFyX154AGbS2XQUC0rTCwBtWGA?q=data+scientist
Forecasting Analyst/ Data Scientist,Locus IT Services,"Bengaluru, Karnataka","['Communication skills', 'R', 'Python', 'Forecasting']",https://www.simplyhired.co.in/job/grdcP604QdWbKGIrvmczw0geg7lWCqr6x8xT9bOuuQ74UbjN1uRqmg?q=data+scientist
Data Science Trainer,Linnkya Technologies Private Limited,"Mysore, Karnataka","['Communication skills', 'R', '.NET', 'Machine learning', 'Python']",https://www.simplyhired.co.in/job/w_BpLlkd9pdXt-myYg6IyiaOBS49BLXElthgIqWEWC_eQaZq6mvi5A?q=data+scientist
Data Science Analyst,Diageo,"Bengaluru, Karnataka","['Software deployment', 'Analysis skills', 'Supply chain management', 'Azure', 'SQL', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/qkfe-HLYccyBfHPJjs4ixJuqlQLd7cMNKx6NBe4VdfmpcLbSNXHRNw?q=data+scientist
Data Scientist – Machine Learning,RPA Infotech,Delhi,"['SQL', 'PyTorch', 'Pandas', 'Natural language processing', 'TensorFlow', ""Bachelor's degree"", ""Master's degree"", 'M.Eng']",https://www.simplyhired.co.in/job/LmFbmdAeGRkOxCV-aC-3B-v5rTfpl8Nv7LI03_AKfPEdwOKby5X-Xg?q=data+scientist
Data Scientist - Ads Product,Truecaller,"Bengaluru, Karnataka","['iOS', 'Design patterns', 'Data modeling', 'SQL', 'Spark']",https://www.simplyhired.co.in/job/fxoECeXuG31mI7DfzLptI7xxciQzN7lcYZx8Kk7O7J1JtBwB7KR4jg?q=data+scientist
Faculty- Artificial Intelligence,United Group of Initiatives,"Ernakulam, Kerala","['.NET', 'Teaching experience', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/1Q5HTnkHVLXWSO5GoFQn2WpldvCpTjgc2NxrfMHR9escMfnSCgp7Kg?q=data+scientist
Audit Reporting and Analytics Analyst,DTCC,"Chennai, Tamil Nadu","['Power BI', 'SQL', 'Tableau', 'SharePoint', 'Informatica']",https://www.simplyhired.co.in/job/OHVLXTK5OsdVclVSNxMgOHuND6QtMXRkBtyqTDzGvh0qbwbjQx7FRQ?q=data+scientist
Data Scientist - Python,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","['SQL', 'NoSQL', 'jQuery', 'OOP', 'Machine learning']",https://www.simplyhired.co.in/job/lAvGlPyJ9a39gTEkisWynZWSHfsy3fb2AnbbvpchgExnbY8C50HPgw?q=data+scientist
"Analyst, Customer Analytics",Victoria's Secret,"Bengaluru, Karnataka","['Relational databases', 'SQL', 'VBA', 'Microsoft Excel', 'SAS', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/97De9KfpybMsyahUi_vM8JvXix914KF7qH7P3PrQRjD0SiSm921BRw?q=data+scientist
Data Scientist,United Airlines,"Gurugram, Haryana","['Software deployment', 'Analytics', 'Machine learning', 'Python', 'Project leadership', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/fbVBDSnld6rvcIMLTZxiF68LUrFb-XKjPDpTcJoJOl78_2gPkHHTdw?q=data+scientist
Sr Data Scientist,tiket.com,India,"['SQL', 'Product development', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/jyvdXtKdIgVnO3E6X5yYH2rSvojOaZyQDCNSihhiKOBGiOzlPZgofQ?q=data+scientist
USPBA Data Scientist C11,Citi,"Bengaluru, Karnataka","['Statistical analysis', 'Project management', 'SQL', 'Predictive analytics', 'SAS', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/UjOGi2mPjn2v2SIxlctKh7BBGzCLFTFcXV_6yG1cb5LxTKfps8JqbA?q=data+scientist
Senior Data Science Consultant (Data Science),Capillary Technologies,"Bengaluru, Karnataka","['Project management', 'Power BI', 'Relational databases', 'SQL', 'Tableau', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/GninZJvbb-MqNy35bMqvTF7kxBbIKEAUMAN0tXzyuDUi--BEdkx76g?q=data+scientist
Data Science-Consultant - Operation Research,Wipro Limited,"Bengaluru, Karnataka",['Data science'],https://www.simplyhired.co.in/job/UXBROA0luTRhAmJcqMHd53kWlMvgoHwy5XcLM7dKpaqZD6qee5XwSg?q=data+scientist
Data Scientist,Airtel India,"Bellandur, Bengaluru, Karnataka","['TensorFlow', 'SQL', 'R', 'Machine learning', 'Python']",https://www.simplyhired.co.in/job/HQ4EyyZMwf2eOGcoJMwTCYfZIshVIKk9C9QWpm2TnCGl5UP1drbsUw?q=data+scientist
Computer Vision Engineer (Intern),Stylumia Intelligence Technology,"Bengaluru, Karnataka","['Image processing', 'PyTorch', 'Natural language processing', 'Deep learning', 'TensorFlow']",https://www.simplyhired.co.in/job/-xc-WDjs4VKPPCBcYWmhLYcKj6nh08_vNsJC9yTHqbWibDQjZ22Pvg?q=data+scientist
DATA SCIENTIST,Pulp Innovations,"Anand, Gujarat",[],https://www.simplyhired.co.in/job/kxo80E-1nWUDe6m66DflZ5EXsFeXW-3n-r4PtQUQPZdKucNfm2fnyg?q=data+scientist
AI/Machine Learning,Knight FinTech,India,"['Deep learning', 'Machine learning', 'Calculus', 'AI']",https://www.simplyhired.co.in/job/bXH9hokr50kUtohI-zGf8YMNlnXqBTFAu2aEJOi3no8ITIeCncBBnA?q=data+scientist
IoT & Data Analytics Engineer,SETTY & Associates,"Bengaluru, Karnataka","['SQL', 'Neo4j', 'Plumbing', 'Data analytics', 'Analytics', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/buQgdACi2HBwigwbferjR2FA-d3Nl30z1cIxzsrGHUMU60LX5hh_wA?q=data+scientist
Data Scientist,EVRY India,"Bengaluru, Karnataka","['Azure', 'SQL', 'Recruiting', 'NumPy', 'ISO 27001', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/dCryZmSxGAKglj23ObxC16l-ERRpnx2qJV-sENbNlAxtGhjWXZqiZw?q=data+scientist
Data Scientist,Acuity Knowledge Partners,"Bengaluru, Karnataka","['OOP', 'Communication skills', 'Analytics', 'R', 'Microsoft Excel']",https://www.simplyhired.co.in/job/jRNoKqsi--pWin6UVs3S1FtRVoixZQkqT38yMm8GKRoqBebgzeccfg?q=data+scientist
SR Data Scientist,Surya Systems,"Bengaluru, Karnataka","['Agile', 'SQL', 'Analytics', 'Hadoop', 'R']",https://www.simplyhired.co.in/job/pGsXWLtSSX0hsNJE32J4FeO3KmrxWbfZwKdfeN_UHgXXuiG4gPHjkA?q=data+scientist
Associate Data Scientist (Fresher ) - Madhapur,Recruitrix,"Hyderabad, Telangana","['Power BI', 'SQL', 'Tableau', 'NumPy', 'Pandas', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/QsY9YoD8vAX5RAy-VKH0ouBe1aVcM_RzqSOy4D_Yre-3qRa9lbjppQ?q=data+scientist
Technical Trainer - Data Science/Data Analytics,InLustro Learning Pvt Ltd,"Pallavaram, Chennai, Tamil Nadu","['PyTorch', 'Spark', 'NumPy', 'Pandas', 'Data visualization', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/4MWMNBG3q72QIf_4oi0CPzrp_TuubLQSNXt_732rUiFh4XujHLOPyg?q=data+scientist
AI / ML data science and research engineers,Furious Fox,"Bengaluru, Karnataka","['Full-stack development', 'Deep learning', 'TensorFlow', 'Algorithm design', 'PostgreSQL']",https://www.simplyhired.co.in/job/1T2x8OafYJu2n3olqufZ1zIBv9u4K0Z7iih4xboSi4Xkf5qteE_FeQ?q=data+scientist
Machine Learning Engineer,Venera Video Tech Pvt Ltd,"Noida, Uttar Pradesh","['Software deployment', 'Analysis skills', 'Image processing', 'OpenCV', 'TensorFlow', ""Bachelor's degree"", '12th Pass']",https://www.simplyhired.co.in/job/dJ1Pn3ue9QffyelHgp4KcbDjZncyxE06BrE7mCnh8c6PRDc4jF5uLQ?q=data+scientist
Data Scientist,Servilink System,"Vadodara, Gujarat","['Power BI', 'Agile', 'Analytics', 'R', 'PostgreSQL', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/pLYeo69O6UV9iq3I42lsVy6mMmEYCGoG-wECiDP5Be9bjYC_dZJHjw?q=data+scientist
Senior Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka","['TensorFlow', 'Communication skills', 'Agile', 'SQL', 'Python']",https://www.simplyhired.co.in/job/iscxBq3PUPXVbIwsPY6tU-OUjVJQ8e6L_3Eo70m0c6W9hnV5MWnodw?q=data+scientist
Supply Chain Network Data & Analytics Specialist,Colgate-Palmolive,"Mumbai, Maharashtra","['Manufacturing', 'Supply chain', 'SQL', 'Spring', 'R', ""Bachelor's degree"", ""Master's degree"", 'M.B.A.']",https://www.simplyhired.co.in/job/9LhEc7XC6XiS8ROC2gSQiMuQub04_62xsI5t2noD8yqdDZinQINWLg?q=data+scientist
Engineering Leader - Machine Learning,Eightfold.AI,India,"['TensorFlow', 'C++', 'Scala', 'APIs', 'Hadoop', 'B.Sc', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist
Data Scientist,Iris software,"Noida, Uttar Pradesh","['Unit testing', 'SQL', 'Spark', 'Apache Hive', 'Predictive analytics']",https://www.simplyhired.co.in/job/K3tPo6gu44VoANanbhuYxgqWCXURLQQHDJL6m5eZo_2H1S6LEClCpQ?q=data+scientist
Faculty- Artificial Intelligence,United Group of Initiatives,"Ernakulam, Kerala","['.NET', 'Teaching experience', 'Communication skills', 'R', 'Machine learning', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/1Q5HTnkHVLXWSO5GoFQn2WpldvCpTjgc2NxrfMHR9escMfnSCgp7Kg?q=data+scientist
Data Scientist - Python,V R Della IT Services Private Limited,"Tiruchchirappalli, Tamil Nadu","['SQL', 'NoSQL', 'jQuery', 'OOP', 'Machine learning']",https://www.simplyhired.co.in/job/lAvGlPyJ9a39gTEkisWynZWSHfsy3fb2AnbbvpchgExnbY8C50HPgw?q=data+scientist
Audit Reporting and Analytics Analyst,DTCC,"Chennai, Tamil Nadu","['Power BI', 'SQL', 'Tableau', 'SharePoint', 'Informatica']",https://www.simplyhired.co.in/job/OHVLXTK5OsdVclVSNxMgOHuND6QtMXRkBtyqTDzGvh0qbwbjQx7FRQ?q=data+scientist
Data Scientist & Analyst,iTDAY India,"Bengaluru, Karnataka","['Statistical analysis', 'Web services', 'D3.js', 'Google AdWords', 'Predictive analytics', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/Dq7sQzwzHuDGWCd8KykDceBvutX0lPmsCN1aNtsQPT81ZbKd_PP9yQ?q=data+scientist
Computational & Data Scientist,ExxonMobil,"Bengaluru, Karnataka","['Mechanical engineering', 'Software testing', 'C++', 'OOP', 'MATLAB', ""Master's degree""]",https://www.simplyhired.co.in/job/CCj-Ct84WXxSrNUk-_HI7ne5HyOrvUJRBhUkq4-FgjyMuJ0xLgXaMg?q=data+scientist
