,Company,Qualifications,Url,City,State,Title 1,Title 2
998,eightfold.ai,"tensorflow, c++, scala, apis, hadoop, b.sc, bachelors degree, doctoral degree, masters degree",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist,mumbai,maharashtra,data scientist tableau | 5 to 10 years | chennai,none
999,qualys,"statistical analysis, pytorch, tensorflow, cassandra, communication skills, b.sc, bachelors degree, doctoral degree, masters degree",https://www.simplyhired.co.in/job/NR1BGiRUb0yaPk1NFlr7fu98HLbTMLHtir9xtwyu8BM38w8GJlRypw?q=data+scientist,bengaluru,karnataka,"asic design engineer, machine learning",none
1000,revol process solutions,"elasticsearch, azure, sql, ontology, nosql, bachelors degree, masters degree",https://www.simplyhired.co.in/job/i8chEVSfAvU7tuGy4CG1bfFNK30OTwbke-PyY49Bq2Aa8423KxJGSA?q=data+scientist,bengaluru,karnataka,big data engineer,none
1001,rapsys technologies,"deep learning, tensorflow, communication skills, spark, r",https://www.simplyhired.co.in/job/uubhvpi1CpyIWM2lyhp0lR38_CHCruBD3jg5h_l06-Hk4H6-7xRRfg?q=data+scientist,ahmadabad,gujarat,data scientist,none
1002,larsen & toubro limited,"css, sql, nosql, jquery, mongodb",https://www.simplyhired.co.in/job/wHa1pUklKHBthaUDcI3Lc1GGnDNxyh8RAcynu5s26HNQp0mBnCGVjA?q=data+scientist,bengaluru,karnataka,product manager- ml/ai,none
1003,internetworkz,"machine learning, ai",https://www.simplyhired.co.in/job/BDKE4UkcFo3-5HJFnSwgS7v_MR327ysTEz4f3LhBw4g-EcbALffsfg?q=data+scientist,none,none,engineering leader,machine learning
1004,prognoz,"deep learning, machine learning, natural language processing, ai",https://www.simplyhired.co.in/job/1pN9M8AZ1vz9YzgESq-75zSjDv2NJav2u_UEPYBTfKlFXk2yklRw-g?q=data+scientist,vijayawada,andhra pradesh,machine learning/artificial intelligence,none
1005,aeries technology group,"power bi, sql, nosql, data visualization, cassandra, bachelors degree, masters degree",https://www.simplyhired.co.in/job/8LydbbZix03AeSEd7fRt9hY5FYlcT8zxE8IEnJCXLoviZw2fM5CXQw?q=data+scientist,none,none,machine learning engineer,none
1006,ust,"image processing, pytorch, git, user research, natural language processing",https://www.simplyhired.co.in/job/BhZH9-g0S4lIvXdicM45Ygi3sZ9rBsNZAXaeRcegOhMFXiAr9tUTHQ?q=data+scientist,baner,pune,data scientist,none
1007,"jpmorgan chase bank, n.a.","sql, tableau, presentation skills, data visualization, natural language processing, bachelors degree, masters degree",https://www.simplyhired.co.in/job/gKnYJuBVqVCrYCvO307L2_Otecp8qKpv28-cE4wrslpfzrDAhKPEsg?q=data+scientist,kandivali,mumbai,data scientist,none
1008,icf,"software deployment, power bi, azure, sql, git, bachelors degree",https://www.simplyhired.co.in/job/C2ay-r4zEz_f9g1Ta9wnpaRsX2ASb2shy40bpSmeazSOBbHTELu-VA?q=data+scientist,bengaluru,karnataka,senior data scientist,none
1009,saffron consultancy services,"data modeling, tensorflow, communication skills, r, machine learning",https://www.simplyhired.co.in/job/8lnd_dIYVVMyvkbZmcaVcANLIh-3oGSRHUWK8ZbQy3Xe8joPsvWwXw?q=data+scientist,none,none,chief data scientist,none
1010,connecting2work hr solutions,"machine learning, ai",https://www.simplyhired.co.in/job/N2vKlc3FctPxsZiwmhR8Wqf-Qs2Ahqu9fo6ZQFu8TtvwIQtt6h2Ayg?q=data+scientist,chennai,tamil nadu,acn,applied intelligence
1011,michael page,"graph databases, sql, machine learning, python, data science",https://www.simplyhired.co.in/job/Nz65MJb-0IXIo0-JIB7OJ4o4gAdQwo6Q4JnrHI953PDYhhpff9uCxw?q=data+scientist,noida,uttar pradesh,machine learning expert,none
1012,enphase energy,"statistical analysis, web services, analysis skills, power bi, sql, bachelors degree",https://www.simplyhired.co.in/job/XgIyTP79hAm84B4Xymz8UT4Uo51mtw7mV6vAV9HojOsF7PC0yh9csg?q=data+scientist,mumbai,maharashtra,natural language processing engineer,none
